dates,shore,Hs,Tp,Dir,Eng,,,real_dates
21/05/2011,389.6727478,1.6989774,8.733643,233.99619,12.35283724,,,
22/05/2011,389.6421021,1.5501486,6.3877044,233.0614,7.521207236,,,
23/05/2011,389.6096571,1.4731089,6.4378233,233.51367,6.845494709,,,
24/05/2011,389.5754087,1.3901504,6.5184903,234.85536,6.17257935,,,
25/05/2011,389.5393571,1.4015107,6.5049343,236.12419,6.260828826,,,
26/05/2011,389.5015068,1.6472358,8.268541,236.77235,10.99351337,,,
27/05/2011,389.4618663,1.8710995,8.751208,235.70148,15.01266701,,,
28/05/2011,389.4204481,1.9956803,11.307932,234.6904,22.06791024,,,
29/05/2011,389.3772681,2.142027,14.890896,235.86987,33.47856173,,,
30/05/2011,389.332346,2.1201656,11.30841,234.36734,24.90790459,,,
31/05/2011,389.2857045,2.034057,10.910609,233.74461,22.1192965,,,
1/06/2011,389.2373697,1.7643703,7.1314664,234.13089,10.87813383,,,
2/06/2011,389.1873707,1.5458527,6.8536654,232.65036,8.025187644,,,
3/06/2011,389.1357393,1.3693392,6.4410686,234.35565,5.918015337,,,
4/06/2011,389.0825102,1.187098,13.559456,238.13123,9.362923884,,,
5/06/2011,389.0277205,1.1916803,15.259389,239.03714,10.61824506,,,
6/06/2011,388.9714099,1.2644241,13.965848,238.57938,10.94079601,,,
7/06/2011,388.9136203,1.7521509,13.155738,240.0228,19.79038796,,,
8/06/2011,388.8543959,1.9081396,8.950538,239.16637,15.96855101,,,
9/06/2011,388.7937828,1.4586939,7.6936555,236.89676,8.021528846,,,
10/06/2011,388.7318292,1.3543514,7.5528455,239.66676,6.788430921,,,
11/06/2011,388.6685853,1.506235,6.3609743,238.68729,7.071396527,,,
12/06/2011,388.6041027,1.7273302,7.5922723,235.24715,11.09988778,,,
13/06/2011,388.5384351,1.8038926,10.559874,233.24973,16.83744423,,,
14/06/2011,388.4716375,1.8512429,9.169819,231.84755,15.39868572,,,
15/06/2011,388.4037664,1.9639862,7.1552367,232.21046,13.52374424,,,
16/06/2011,388.3348798,1.8819823,11.118531,231.84067,19.29632301,,,
17/06/2011,388.2650372,1.4827509,6.809561,233.01465,7.335869337,,,
18/06/2011,388.194299,1.4081932,8.55102,243.06154,8.308803494,,,
19/06/2011,388.1227271,1.9863248,8.004392,251.34883,15.47479695,,,
20/06/2011,388.0503845,2.2124796,8.77517,244.23071,21.04796771,,,
21/06/2011,387.9773351,1.8351095,7.449744,239.64682,12.29309948,,,
22/06/2011,387.903644,1.6982136,13.718977,238.56975,19.38663515,,,
23/06/2011,387.8293773,1.8577344,12.54534,238.99728,21.21513316,,,
24/06/2011,387.7546017,2.0033174,9.760934,242.53915,19.19494988,,,
25/06/2011,387.6793851,2.2504745,9.564564,246.84949,23.73610477,,,
26/06/2011,387.6037961,2.276918,11.345736,241.34937,28.82196157,,,
