t,shore,Hs,Tp,Dir,Eng
15/08/2000,,0.133597,11.302,32.1445,0.098842744
16/08/2000,,0.252841125,6.9266275,228.9274288,0.21697682
17/08/2000,,2.275883,7.16451,136.0015128,18.1837075
18/08/2000,,1.88489875,9.66923,13.55954125,16.83309691
19/08/2000,,1.30877125,8.01341,223.0350288,6.725753342
20/08/2000,,0.5128875,4.44850375,289.111375,0.573395487
21/08/2000,,0.397069125,3.98799375,320.118375,0.308093678
22/08/2000,,0.42766425,4.0842375,256.308375,0.366026866
23/08/2000,,0.1950185,8.744915,21.38418538,0.16296836
24/08/2000,,0.43364075,4.940995,29.1323375,0.455271714
25/08/2000,,2.18757625,7.2290175,14.002465,16.95125104
26/08/2000,,2.26684875,9.4323475,10.75406875,23.74985487
27/08/2000,,1.66265625,9.80053875,55.3951175,13.27550249
28/08/2000,,1.28728425,9.195465,338.75125,7.466527811
29/08/2000,,0.97771375,7.43175625,23.2555875,3.481055783
30/08/2000,,1.4279175,7.78113375,93.07960625,7.774011752
31/08/2000,,1.15614125,8.423275,341.83875,5.516947523
1/09/2000,,0.74501375,7.90787875,221.4588694,2.150723885
2/09/2000,,0.6217875,7.1528675,285.2049738,1.355065332
3/09/2000,,0.5102115,6.646495,119.0397275,0.847791873
4/09/2000,,0.922407375,7.71447375,317.10975,3.216236075
5/09/2000,,0.9971565,3.98267,283.651875,1.940425851
6/09/2000,,0.942439,4.92115,332.744375,2.141752006
7/09/2000,,1.229485,6.087115,340.388125,4.508728205
8/09/2000,,1.22530625,5.9303075,307.474994,4.362772738
9/09/2000,,1.70022875,7.4910125,352.127125,10.6108778
10/09/2000,,0.9823885,7.577935,93.57803125,3.583550225
11/09/2000,,0.70648075,7.770665,23.791675,1.900443367
12/09/2000,,0.785978375,7.68449375,26.89037,2.326122254
13/09/2000,,1.081787375,6.58309375,95.82942788,3.774938993
14/09/2000,,0.8201005,5.365365,157.8430125,1.768192342
15/09/2000,,0.28160925,9.4323475,67.68345,0.36653015
16/09/2000,,0.293598625,7.9531275,164.1863775,0.335924794
17/09/2000,,0.210965,7.09544,77.1431125,0.154737734
18/09/2000,,0.322998,3.3915575,219.15147,0.173378376
19/09/2000,,0.608938,3.696195,308.903875,0.671579001
20/09/2000,,0.61970025,4.08138625,325.908625,0.768010433
21/09/2000,,0.5266,8.18433875,145.9105,1.112093714
22/09/2000,,0.87399375,9.66923,27.868775,3.619133679
23/09/2000,,0.882758,8.81987,254.8311375,3.367763518
24/09/2000,,0.695267125,8.22766375,174.2389813,1.948839188
25/09/2000,,2.32943,6.6605575,292.275,17.70948739
26/09/2000,,0.67624625,3.5411975,210.83775,0.793516513
27/09/2000,,0.315160875,9.95675,141.9681988,0.484594274
28/09/2000,,0.4987615,6.23097625,256.29865,0.759517912
29/09/2000,,1.71120375,6.60781375,339.89325,9.481069277
30/09/2000,,1.44196125,6.574575,343.6885,6.698397921
1/10/2000,,1.75469625,6.74842,347.557625,10.18127293
2/10/2000,,1.98057375,7.8879675,352.10625,15.161537
3/10/2000,,1.33342625,7.86703,348.895375,6.854012423
4/10/2000,,1.4463625,5.67338375,290.593375,5.815573474
5/10/2000,,0.99803775,4.6047,277.57225,2.247456827
6/10/2000,,0.92154425,3.9256825,284.28425,1.633592156
7/10/2000,,0.713086,5.96782125,305.667,1.486947745
8/10/2000,,0.797600625,4.7566,333.8375,1.48273549
9/10/2000,,1.017310125,5.8164375,295.61725,2.949577961
10/10/2000,,0.65133175,5.5205125,263.666345,1.147572085
11/10/2000,,1.76975625,6.35158,317.877375,9.747758522
12/10/2000,,1.056862125,4.10478375,260.02,2.246585911
13/10/2000,,0.26265275,4.26505125,202.2238875,0.144173101
14/10/2000,,0.417874625,4.04024625,263.8538125,0.345697243
15/10/2000,,1.2983355,6.37176625,346.370375,5.262956486
16/10/2000,,0.693418625,7.0091875,222.0933856,1.65140944
17/10/2000,,0.48570125,5.11741625,95.5052625,0.591541565
18/10/2000,,0.620156625,4.489005,103.08675,0.845958277
19/10/2000,,0.421176625,4.71186,81.42055,0.409559476
20/10/2000,,0.329925375,6.0814725,71.1728875,0.324366702
21/10/2000,,0.370944875,5.23218375,58.470325,0.352775014
22/10/2000,,0.273787875,5.9303075,59.476,0.217821987
23/10/2000,,0.384173,4.01043125,180.4702875,0.290028605
24/10/2000,,0.661015,4.23885625,240.046125,0.907543391
25/10/2000,,0.501256875,7.1231075,197.90155,0.876973082
26/10/2000,,0.502513,15.2594875,31.654225,1.888124513
27/10/2000,,0.596665625,14.66876,20.9674875,2.558889423
28/10/2000,,0.865275375,5.28538125,14.34585,1.93901464
29/10/2000,,1.26398375,6.26096,10.64361875,4.901398239
30/10/2000,,0.99854725,7.6743,140.1806375,3.749489074
31/10/2000,,0.9115445,7.86703,294.3707625,3.203042022
1/11/2000,,0.819020125,7.4382525,32.254195,2.444872095
2/11/2000,,1.75197875,9.32551375,70.1480625,14.02576362
3/11/2000,,1.69633,8.7217,76.545025,12.29753054
4/11/2000,,2.28750875,9.80053875,67.9352625,25.12878891
5/11/2000,,1.3654875,8.10277375,210.7867195,7.402957399
6/11/2000,,1.090310375,4.1593225,269.09575,2.422807809
7/11/2000,,0.65752025,5.4880725,333.30725,1.162610351
8/11/2000,,1.05396375,5.44261375,153.40795,2.962476695
9/11/2000,,1.043442625,3.93076875,98.9476375,2.097059353
10/11/2000,,1.113410125,9.0990475,109.4346375,5.527163922
11/11/2000,,0.6882555,6.78854875,88.6412,1.575695891
12/11/2000,,0.59932825,10.865275,45.13405,1.912345248
13/11/2000,,0.67518275,13.5161375,32.1968375,3.019196348
14/11/2000,,1.02907925,6.04509,246.776975,3.136869805
15/11/2000,,0.8967285,6.033035,259.62725,2.377135131
16/11/2000,,0.895112625,3.8320525,260.115625,1.504467795
17/11/2000,,1.0204425,4.08138625,253.90125,2.082480067
18/11/2000,,1.30956325,4.65861875,261.848875,3.914769612
19/11/2000,,0.764541875,5.852535,270.98075,1.676264912
20/11/2000,,0.549158625,3.34366375,302.948375,0.494099364
21/11/2000,,1.134266,4.91989875,336.60075,3.101573473
22/11/2000,,1.025345375,6.40073,345.935375,3.297356783
23/11/2000,,0.62836025,6.4876525,93.55704625,1.255165713
24/11/2000,,0.615523875,6.74842,85.97655125,1.252818016
25/11/2000,,0.774523375,8.02518125,59.07689513,2.358956804
26/11/2000,,0.775847375,7.8879675,32.618275,2.326557459
27/11/2000,,0.723480125,7.07229125,301.694075,1.813883655
28/11/2000,,1.181370375,5.90274625,341.95075,4.036661624
29/11/2000,,0.805740125,6.097,302.776375,1.939555709
30/11/2000,,0.594661,4.6392625,205.1375875,0.803866518
1/12/2000,,0.480753375,5.80878625,192.6069375,0.65784891
2/12/2000,,0.766648875,5.42404125,350.37875,1.562111642
3/12/2000,,0.61167475,4.467245,181.8967775,0.818986905
4/12/2000,,1.02425525,5.23866125,73.44375,2.692977927
5/12/2000,,0.941129875,7.86703,64.175525,3.414334024
6/12/2000,,0.7922095,8.350125,58.3416875,2.567847032
7/12/2000,,0.859622375,9.66923,55.0700875,3.501090953
8/12/2000,,0.69102525,9.55078875,61.284575,2.23472019
9/12/2000,,0.611570375,8.46454625,45.3261875,1.551288745
10/12/2000,,1.057717875,5.02260875,25.52525,2.753373426
11/12/2000,368.8961132,0.8094665,6.29838625,17.5593625,2.022195457
12/12/2000,,0.564081125,8.7217,36.95805,1.359816667
13/12/2000,,0.643303,9.2083325,63.372025,1.867274757
