dates,shore,Hs,Tp,Dir,Eng,,,real_dates
1/10/2019,372.7735372,0.731828988,6.976050854,182.1904907,1.830732677,,,
2/10/2019,372.8359704,0.524003327,6.543406963,322.149231,0.880375809,,,
3/10/2019,372.9011587,0.220522434,9.894201279,99.98499298,0.235766651,,,
4/10/2019,372.9690782,0.306535721,12.66953945,32.3477211,0.583336416,,,
5/10/2019,373.0397052,0.656603158,9.300605774,78.75365448,1.96477693,,,
6/10/2019,373.1130164,0.718845844,9.487524033,46.90151215,2.402262721,,,
7/10/2019,373.1889882,0.565052867,11.82219791,23.69820023,1.849577234,,,
8/10/2019,373.2675975,0.374028951,11.25428104,26.07090759,0.771479294,,,
9/10/2019,373.3479443,0.56257087,10.5138607,26.32316017,1.630469878,,,
10/10/2019,373.4300324,1.520172834,8.533358574,21.62586212,9.662778181,,,
11/10/2019,373.5138657,1.434732318,7.836660862,29.08627892,7.904399734,,,
12/10/2019,373.5994478,1.180606484,8.388253212,37.77841568,5.728988366,,,
13/10/2019,373.6867826,1.209723115,7.896230698,45.22989655,5.662234694,,,
14/10/2019,373.7758738,2.906695843,8.766100883,43.739048,36.29123297,,,
15/10/2019,373.8667251,2.523215532,9.438646317,34.32863998,29.44519884,,,
16/10/2019,373.95934,1.157504082,8.379852295,37.4051857,5.501454254,,,
17/10/2019,374.0571654,0.486963153,9.821362495,39.5957489,1.141195425,,,
18/10/2019,374.1600997,0.939272881,8.092982292,190.5863647,3.498551221,,,
19/10/2019,374.2680416,0.823188245,6.223124027,50.13751984,2.066345112,,,
20/10/2019,374.3808907,0.495841324,11.44730949,4.404491425,1.379065654,,,
21/10/2019,374.4985473,0.697366416,8.396558762,124.9203949,2.00087275,,,
22/10/2019,374.6209119,0.923712134,6.5843606,255.514801,2.752852772,,,
23/10/2019,374.7478859,0.572117329,10.00684929,187.4685669,1.604957895,,,
24/10/2019,374.8793714,0.644861042,10.16866112,162.8995209,2.07201138,,,
25/10/2019,375.012633,0.36305055,13.95219707,13.12549591,0.901099774,,,
26/10/2019,375.1476546,0.301285177,12.66381073,12.96190739,0.563269224,,,
27/10/2019,375.2844201,0.25126192,11.68148422,14.16956806,0.361366138,,,
28/10/2019,375.4229136,0.337084293,10.8124733,23.07684326,0.602002315,,,
29/10/2019,375.5631194,0.26968655,10.12112045,39.24451828,0.360697596,,,
30/10/2019,375.7050218,0.322669208,12.46371841,33.67429352,0.635855973,,,
31/10/2019,375.8486052,0.487726867,10.79777145,48.48652267,1.258587955,,,
1/11/2019,375.9938543,0.735170245,13.43325233,39.39985275,3.557567062,,,
2/11/2019,376.1407538,0.841135561,17.20781517,12.5556879,5.965595487,,,
3/11/2019,376.2892884,0.86318785,15.71017075,10.27233601,5.735715772,,,
4/11/2019,376.4375508,0.752735615,14.92392731,9.892235756,4.143469385,,,
5/11/2019,376.5854691,0.6276775,14.05873489,7.878321648,2.714035,,,
6/11/2019,376.7329715,0.540136755,13.68461037,12.13159752,1.956302355,,,
7/11/2019,376.8799856,0.617462814,13.22141647,33.99321747,2.469992765,,,
8/11/2019,377.0264391,0.858510017,12.32348061,33.6014328,4.45061677,,,
9/11/2019,377.1722592,1.456116319,7.632272243,9.9898386,7.929431859,,,
10/11/2019,377.3173732,2.243887424,8.56953907,20.58110237,21.14246754,,,
11/11/2019,377.4617079,1.492392659,8.833594322,30.58537102,9.640503996,,,
12/11/2019,377.6051899,0.833593905,8.797317505,45.34262085,2.995404014,,,
13/11/2019,377.7477458,0.957888365,7.9021492,128.3804779,3.552802792,,,
14/11/2019,377.8893018,1.233207345,7.259961128,9.22413826,5.410066219,,,
15/11/2019,378.0297838,0.632641613,8.314172745,38.95652008,1.63053691,,,
16/11/2019,378.1691177,0.533549726,8.757222176,58.48804474,1.22155282,,,
17/11/2019,378.3072291,0.940991163,6.348277569,244.4293518,2.754375061,,,
18/11/2019,378.4440431,0.965620935,7.16860199,164.5354004,3.275245768,,,
19/11/2019,378.5794851,0.550065041,8.300426483,61.04358673,1.23062172,,,
20/11/2019,378.7134798,0.586436987,16.83397675,27.27650642,2.836779046,,,
21/11/2019,378.845952,0.644765675,17.31330109,13.74410343,3.526791457,,,
22/11/2019,378.9768261,0.681137443,14.97003651,8.744373322,3.403207646,,,
23/11/2019,379.1060263,0.685242414,12.77779579,18.87992859,2.939953738,,,
24/11/2019,379.2334766,1.061944485,9.295354843,62.38734055,5.136480938,,,
25/11/2019,379.3591009,1.016789794,9.105190277,66.21721649,4.612617716,,,
26/11/2019,379.4835769,0.914452016,9.236453056,67.09701538,3.78462759,,,
27/11/2019,379.6068051,0.715504646,8.866434097,70.06908417,2.224180286,,,
28/11/2019,379.7280084,0.689156473,9.160081863,61.61064148,2.131724683,,,
29/11/2019,379.8470666,0.74395299,9.806756973,52.79891205,2.659576456,,,
30/11/2019,379.9638594,0.807914019,10.18011761,61.22504425,3.255960767,,,
1/12/2019,380.0782661,1.180606484,10.5221653,64.1194458,7.186402348,,,
2/12/2019,380.1901657,1.439123631,11.09676456,17.5237999,11.26130344,,,
3/12/2019,380.2994374,1.500889063,8.683046341,14.52698803,9.584410022,,,
4/12/2019,380.4059599,0.972112536,11.42000675,14.6699543,5.288049702,,,
5/12/2019,380.5096116,0.835885048,10.91309166,21.82175446,3.736259191,,,
6/12/2019,380.6123081,0.811923444,10.69552898,31.47135544,3.454844562,,,
7/12/2019,380.7139887,0.830443442,10.36264515,36.30337906,3.501763618,,,
8/12/2019,380.8145928,1.053734541,14.26570129,33.28937531,7.761606817,,,
9/12/2019,380.9140602,0.730015159,12.97846031,28.615448,3.389089281,,,
10/12/2019,381.0123305,1.1563586,10.35720348,58.70112228,6.786153169,,,
