dates,observation,Yates,,,special_dates
16/04/2000,330.8872624,331.04105,,,1/08/2016
17/04/2000,330.8060107,331.61368,,,9/08/2016
18/04/2000,330.7307719,331.6957,,,17/08/2016
19/04/2000,330.661546,330.73917,,,10/09/2016
20/04/2000,330.5959203,330.57266,,,12/10/2016
21/04/2000,330.5338949,331.7611,,,21/11/2016
22/04/2000,330.4754698,332.3568,,,15/12/2016
23/04/2000,330.420645,332.22385,,,23/12/2016
24/04/2000,330.3694204,331.59476,,,16/01/2017
25/04/2000,330.3217961,331.442,,,5/03/2017
26/04/2000,330.2777721,332.37796,,,6/04/2017
27/04/2000,330.2373484,333.00647,,,14/04/2017
28/04/2000,330.2005249,332.76663,,,22/04/2017
29/04/2000,330.1646236,332.3382,,,30/04/2017
30/04/2000,330.1296446,331.9623,,,24/05/2017
1/05/2000,330.0955878,331.4461,,,17/06/2017
2/05/2000,330.0624532,332.47665,,,4/08/2017
3/05/2000,330.0302408,332.40753,,,12/08/2017
4/05/2000,329.9989506,331.97406,,,28/08/2017
5/05/2000,329.9685826,331.03024,,,5/09/2017
6/05/2000,329.9391369,329.53702,,,31/10/2017
7/05/2000,329.9106133,328.98004,,,8/11/2017
8/05/2000,329.883012,329.6091,,,16/11/2017
9/05/2000,329.8563329,329.967,,,2/12/2017
10/05/2000,329.830576,330.80295,,,10/12/2017
11/05/2000,329.8057413,329.9242,,,19/01/2018
12/05/2000,329.7818289,328.72684,,,12/02/2018
13/05/2000,329.7588386,328.5555,,,28/02/2018
14/05/2000,329.7367706,329.04105,,,1/04/2018
15/05/2000,329.7156247,329.2689,,,17/04/2018
16/05/2000,329.6954011,329.91394,,,25/04/2018
17/05/2000,329.6760997,329.8102,,,20/06/2018
18/05/2000,329.6577206,330.00592,,,28/06/2018
19/05/2000,329.6402636,329.74863,,,31/08/2018
20/05/2000,329.6237288,330.05276,,,3/11/2018
21/05/2000,329.6081163,330.34167,,,11/11/2018
22/05/2000,329.593426,330.42123,,,21/12/2018
23/05/2000,329.5796579,330.0815,,,30/01/2019
24/05/2000,329.566812,329.37088,,,7/02/2019
25/05/2000,329.5548883,328.46353,,,19/03/2019
26/05/2000,329.5438868,327.89276,,,12/04/2019
27/05/2000,329.5338076,328.21335,,,14/05/2019
28/05/2000,329.5246505,327.28186,,,22/05/2019
29/05/2000,329.5164157,327.72562,,,30/05/2019
30/05/2000,329.5091031,328.32275,,,15/06/2019
31/05/2000,329.5061891,328.74533,,,23/06/2019
1/06/2000,329.5076737,329.57806,,,1/07/2019
2/06/2000,329.5135569,330.08643,,,17/07/2019
3/06/2000,329.5238387,330.29303,,,2/08/2019
4/06/2000,329.5385192,329.81052,,,18/08/2019
5/06/2000,329.5575982,329.47202,,,26/08/2019
6/06/2000,329.5810759,329.41464,,,5/10/2019
7/06/2000,329.6063898,330.20096,,,14/11/2019
8/06/2000,329.6335399,330.75885,,,8/12/2019
9/06/2000,329.6625263,329.93347,,,17/01/2020
10/06/2000,329.6933489,330.07614,,,2/02/2020
11/06/2000,329.7260077,329.47644,,,10/02/2020
12/06/2000,329.7605028,330.23114,,,18/02/2020
13/06/2000,329.7968342,329.6986,,,26/02/2020
14/06/2000,329.8350017,329.2453,,,5/03/2020
15/06/2000,329.8750055,330.22913,,,13/03/2020
16/06/2000,329.9114826,331.68658,,,21/03/2020
17/06/2000,329.9444329,332.10117,,,14/04/2020
18/06/2000,329.9738566,330.8826,,,8/05/2020
19/06/2000,329.9997535,330.876,,,16/05/2020
20/06/2000,330.0221236,330.76468,,,1/06/2020
21/06/2000,330.0409671,330.97684,,,9/06/2020
22/06/2000,330.0562838,331.18582,,,4/08/2020
23/06/2000,330.0680738,332.05646,,,28/08/2020
24/06/2000,330.0763371,332.71774,,,21/09/2020
25/06/2000,330.0810737,332.5105,,,29/09/2020
26/06/2000,330.0822835,332.4645,,,15/10/2020
27/06/2000,330.0799666,332.4579,,,2/12/2020
28/06/2000,330.074123,332.32352,,,10/12/2020
29/06/2000,330.0647526,331.63248,,,18/12/2020
30/06/2000,330.0518556,330.99622,,,3/01/2021
1/07/2000,330.0354318,331.11972,,,19/01/2021
2/07/2000,330.0230281,331.62384,,,12/02/2021
3/07/2000,330.0146444,331.52618,,,8/03/2021
4/07/2000,330.0102809,331.5529,,,16/03/2021
5/07/2000,330.0099374,332.20328,,,17/04/2021
6/07/2000,330.013614,332.22586,,,25/04/2021
7/07/2000,330.0213107,331.81393,,,3/05/2021
8/07/2000,330.0330274,331.57062,,,19/05/2021
9/07/2000,330.0484368,331.64197,,,22/07/2021
10/07/2000,330.0675388,332.144,,,30/07/2021
11/07/2000,330.0903334,332.13876,,,15/08/2021
12/07/2000,330.1168207,331.04803,,,23/08/2021
13/07/2000,330.1470006,331.43246,,,31/08/2021
14/07/2000,330.1808731,332.59732,,,8/09/2021
15/07/2000,330.2184383,332.6029,,,24/09/2021
16/07/2000,330.259696,333.04037,,,21/12/2021
17/07/2000,330.3046465,332.7988,,,14/01/2022
18/07/2000,330.3532895,331.7607,,,30/01/2022
19/07/2000,330.4056252,330.98938,,,15/02/2022
20/07/2000,330.4616534,331.46945,,,23/02/2022
21/07/2000,330.5213744,331.12708,,,3/03/2022
22/07/2000,330.5847879,331.46432,,,28/04/2022
23/07/2000,330.6518941,332.07016,,,6/05/2022
24/07/2000,330.7226929,333.03326,,,18/05/2022
25/07/2000,330.7971844,333.55716,,,22/05/2022
26/07/2000,330.8753684,334.34583,,,23/05/2022
27/07/2000,330.9572451,334.0666,,,7/06/2022
28/07/2000,331.0428145,333.98654,,,15/06/2022
29/07/2000,331.1320764,333.488,,,21/06/2022
30/07/2000,331.225031,334.38803,,,1/07/2022
31/07/2000,331.3216782,334.32977,,,2/08/2022
1/08/2000,331.422018,334.19077,,,11/08/2022
2/08/2000,331.5260505,334.9965,,,26/08/2022
3/08/2000,331.6247806,334.58865,,,3/09/2022
4/08/2000,331.7182082,333.13034,,,14/09/2022
5/08/2000,331.8063334,332.204,,,5/10/2022
6/08/2000,331.8891561,331.7267,,,21/10/2022
7/08/2000,331.9666765,332.3102,,,4/11/2022
8/08/2000,332.0388944,333.02292,,,6/11/2022
9/08/2000,332.1058099,333.5919,,,14/11/2022
10/08/2000,332.1668012,333.1788,,,21/11/2022
11/08/2000,332.2218683,333.55093,,,22/11/2022
12/08/2000,332.2710112,333.24478,,,24/12/2022
13/08/2000,332.31423,333.2639,,,30/12/2022
