dates,shore,Hs,Tp,Dir,Eng
28/03/2018,377.7229483,0.8330211,7.4822974,47.781998,2.544151974
29/03/2018,377.7124776,0.8530686,8.596557,58.386322,3.065409792
30/03/2018,377.7000981,1.0291047,11.085691,60.60025,5.752782735
31/03/2018,377.685793,0.98194534,11.578955,61.40169,5.470664393
1/04/2018,377.6695451,0.68142384,10.560829,60.541138,2.402861493
2/04/2018,377.6513372,0.599611,9.831005,38.652714,1.731941346
3/04/2018,377.6311517,0.59922916,9.48151,28.658752,1.668243593
4/04/2018,377.6089712,0.84094465,10.306894,23.463129,3.571566276
5/04/2018,377.5847777,1.2577416,10.102314,34.7761,7.83068572
6/04/2018,377.5585533,1.3911052,10.728464,52.257286,10.17310615
7/04/2018,377.5302798,1.355497,11.36607,61.67113,10.23301305
8/04/2018,377.499939,1.1298195,11.50898,56.55524,7.198649819
9/04/2018,377.4675123,0.8760755,11.236429,82.416504,4.225785634
10/04/2018,377.432981,1.6589779,10.490663,307.5982,14.14751677
11/04/2018,377.3963263,0.42185655,10.500782,18.120415,0.915687563
12/04/2018,377.3575292,0.94337773,11.592702,20.521301,5.055358881
13/04/2018,377.3079319,1.0952613,11.175046,50.493565,6.568722038
14/04/2018,377.2477792,0.8570781,9.415353,63.25133,3.389014942
15/04/2018,377.1773141,0.6440973,9.282848,67.46405,1.887036396
16/04/2018,377.096778,0.9491056,7.063687,202.02513,3.117859916
17/04/2018,377.0064101,0.80352265,9.81258,54.122047,3.10438472
18/04/2018,376.9064482,0.53402704,8.6425705,51.42354,1.207717909
19/04/2018,376.7971281,0.34978104,10.589754,17.859224,0.634854907
20/04/2018,376.6786839,0.43417144,13.118412,14.498806,1.211713232
21/04/2018,376.5589115,0.62433624,8.856983,288.7279,1.691682981
22/04/2018,376.4378101,0.4724526,9.721698,33.72034,1.063297254
23/04/2018,376.3181426,0.5944559,9.774681,34.980927,1.692536163
24/04/2018,376.1999906,0.6514481,10.335247,33.680477,2.149198772
25/04/2018,376.0834355,0.55541104,10.270522,34.749294,1.55244997
26/04/2018,375.9685591,0.5108292,10.045704,42.11486,1.284481596
27/04/2018,375.8554433,1.2508681,7.4829655,35.46963,5.737105778
28/04/2018,375.7441701,3.1081252,1.0800825,30.360611,5.112696567
29/04/2018,375.6348214,2.497345,4.8220906,35.701263,14.73630262
30/04/2018,375.5274796,1.6864716,9.920073,58.401443,13.82512327
1/05/2018,375.4222269,1.3249484,12.556414,60.087494,10.80089233
2/05/2018,375.3191459,1.2730159,10.702593,62.14746,8.498704839
3/05/2018,375.2183191,0.9812771,9.525328,51.375427,4.494271938
4/05/2018,375.1198293,0.811828,10.54374,54.933113,3.40501336
5/05/2018,375.0237592,0.80294985,12.008926,57.710663,3.793823229
6/05/2018,374.9301919,0.7436665,12.15451,28.468357,3.293744988
7/05/2018,374.8399193,0.6419016,13.767187,21.95441,2.779573791
8/05/2018,374.7530028,0.57307196,12.75832,21.59012,2.053089535
9/05/2018,374.6695042,0.47713035,11.947829,22.628006,1.332782138
10/05/2018,374.5894857,0.5710672,11.251226,23.460379,1.797919992
11/05/2018,374.5130096,0.9848093,9.703941,53.502068,4.611566862
12/05/2018,374.4401383,1.0695815,6.6110907,94.8959,3.705927856
13/05/2018,374.3709348,1.2778845,7.323636,7.509218,5.860113609
14/05/2018,374.305462,1.2864764,7.908927,14.829417,6.413827779
15/05/2018,374.2437834,1.1459529,13.394017,18.213205,8.618674157
16/05/2018,374.1859625,1.1668596,8.112648,20.545359,5.412475207
17/05/2018,374.1290774,0.84151745,8.644097,40.030834,2.999452328
18/05/2018,374.0731027,0.79846305,10.723691,53.036045,3.350040197
19/05/2018,374.0180123,1.0187945,9.041897,53.12815,4.598633715
20/05/2018,373.9637803,0.8686293,10.042745,57.53058,3.712936011
21/05/2018,373.9103802,0.77755636,8.087827,61.044273,2.396026898
22/05/2018,373.8577854,1.3420365,8.74844,282.39334,7.720676453
23/05/2018,373.8059688,0.940132,8.986623,312.14978,3.891977076
24/05/2018,373.7549031,0.9694395,10.801685,297.2276,4.974266057
25/05/2018,373.704561,0.97144425,8.365724,352.87897,3.868435645
26/05/2018,373.6549145,0.5739311,9.156359,123.92994,1.477877406
27/05/2018,373.6059355,0.45555544,8.067589,258.30338,0.820393705
28/05/2018,373.5575956,0.24305199,8.896982,39.21427,0.257535531
29/05/2018,373.5098663,0.3599957,5.5949693,47.13177,0.355294443
30/05/2018,373.4627184,0.36075944,6.9063616,50.423454,0.440433963
31/05/2018,373.4161229,0.31990072,10.328468,42.19528,0.517919692
1/06/2018,373.37005,0.7314471,6.49892,39.782703,1.7037392
2/06/2018,373.3244702,2.3167264,5.128817,9.938974,13.48847274
3/06/2018,373.2793532,2.4485626,5.895777,24.237076,17.32046519
4/06/2018,373.2346687,2.1511915,4.4331694,29.739254,10.05237203
5/06/2018,373.190386,1.163232,8.338994,27.78239,5.528946954
6/06/2018,373.1464743,0.502142,8.44725,41.55605,1.043673181
7/06/2018,373.1029022,0.34892187,9.17001,49.51685,0.547044016
8/06/2018,373.0596383,0.47197527,6.5810194,47.23831,0.718336176
9/06/2018,373.0166508,0.4999463,6.127755,49.316147,0.750488757
10/06/2018,372.9739076,0.94958293,6.777771,37.836838,2.994668603
11/06/2018,372.9313763,2.2960107,11.056956,36.717842,28.56139903
12/06/2018,372.8890244,1.5830837,9.025573,44.807865,11.08354318
13/06/2018,372.8468189,0.94690996,8.65183,52.05452,3.801206181
14/06/2018,372.8047266,0.6550757,12.430115,52.992744,2.61369078
15/06/2018,372.762714,0.6696817,12.511641,59.994015,2.749458807
16/06/2018,372.7207474,0.7053854,9.455639,62.528934,2.305366065
17/06/2018,372.6787926,0.5267718,8.845909,63.163353,1.202772756
18/06/2018,372.6368154,1.1774561,9.581461,311.66177,6.509044852
19/06/2018,372.5947811,0.88734025,6.5175357,110.00369,2.514547605
20/06/2018,372.5526548,2.2359638,5.4666653,64.319466,13.39208203
21/06/2018,372.5104014,2.3321917,6.5450296,64.854904,17.44360267
22/06/2018,372.4679854,1.363516,10.659157,69.25802,9.710451334
23/06/2018,372.4253709,0.81822413,11.241202,64.32703,3.687681444
24/06/2018,372.3825221,1.0084844,11.3217745,206.98843,5.642206149
25/06/2018,372.3394025,0.8643334,7.7506475,150.33627,2.837243807
26/06/2018,372.2985316,0.51445687,9.898594,154.9016,1.283711802
27/06/2018,372.2599493,0.22577296,11.973986,60.67517,0.299074014
28/06/2018,372.2236957,0.21565375,11.843964,59.532806,0.269902674
29/06/2018,372.1898109,0.21536736,11.642725,53.419582,0.264612581
30/06/2018,372.1583354,0.21450818,7.0265512,46.27603,0.158425837
1/07/2018,372.1293098,0.8633787,8.411069,234.2333,3.072203192
2/07/2018,372.1027747,0.5006146,6.171191,354.05774,0.757830519
3/07/2018,372.0787713,0.22395915,4.624193,77.39959,0.113650056
4/07/2018,372.0566158,0.24467489,5.5182157,44.097843,0.16187268
5/07/2018,372.0363276,0.29842126,5.433348,49.27903,0.237095396
6/07/2018,372.0179264,0.32830158,5.4012723,52.03596,0.285258174
7/07/2018,372.0014318,0.7293469,11.28798,356.96866,2.942256927
8/07/2018,371.9868635,2.2064652,3.0796769,135.94331,7.34675234
9/07/2018,371.9742413,2.067374,2.1440315,4.1274924,4.490196448
10/07/2018,371.9635848,0.8637606,7.7337503,4.142614,2.827307244
11/07/2018,371.954914,0.4344578,7.738619,31.663126,0.7157391
12/07/2018,371.9482487,0.34328946,6.945693,46.21967,0.401081474
13/07/2018,371.9436088,0.92285293,8.802473,55.957253,3.673379284
14/07/2018,371.9410143,2.5400174,6.2834573,35.29848,19.86406518
15/07/2018,371.9404852,2.7381058,8.82128,37.2416,32.40620223
16/07/2018,371.9420415,1.6107683,9.86709,56.784813,12.54444113
17/07/2018,371.9457035,1.1688644,10.188995,62.420334,6.821120038
18/07/2018,371.9573548,0.97745854,10.17859,62.0258,4.765191866
19/07/2018,371.9768362,0.9372681,9.6943,60.705414,4.172921427
20/07/2018,372.0039898,0.8591783,9.387573,56.855606,3.395595947
21/07/2018,372.0386588,1.2404625,8.912925,46.489796,6.720221871
22/07/2018,372.0806875,1.2548777,8.234747,46.638947,6.354028289
23/07/2018,372.1299214,0.7964583,8.840849,63.02176,2.747996264
24/07/2018,372.186207,0.7822341,9.846756,63.41698,2.952315352
25/07/2018,372.2493922,0.88247156,8.959415,60.50196,3.41882735
26/07/2018,372.3122915,0.601043,7.984248,51.654488,1.413322215
27/07/2018,372.3749701,0.5517834,10.529516,47.303608,1.570875443
28/07/2018,372.4374929,0.58662784,9.010489,154.6136,1.519391807
29/07/2018,372.4999248,0.551497,7.582726,302.4239,1.130076261
30/07/2018,372.5623304,0.25336215,6.0221715,41.93821,0.189422983
31/07/2018,372.6247741,0.61965847,6.9602036,27.519136,1.30955217
1/08/2018,372.6873202,0.4858176,5.1954513,150.07027,0.600849697
2/08/2018,372.7500329,0.722378,7.7221036,15.634295,1.974516313
3/08/2018,372.8129761,0.87808025,8.230069,48.43841,3.109338285
4/08/2018,372.8762136,1.1638048,9.219843,57.12161,6.11899212
5/08/2018,372.939809,1.93907,10.357299,62.019615,19.08224944
6/08/2018,373.0038257,2.1041276,11.348123,58.802162,24.6186515
7/08/2018,373.0683271,2.174962,11.982483,58.565716,27.77449995
8/08/2018,373.1333762,2.1068962,12.103626,60.274452,26.32678673
9/08/2018,373.1990359,1.3319173,11.075477,64.703,9.627489185
10/08/2018,373.265369,1.2225152,9.881314,66.854385,7.236345854
11/08/2018,373.3355517,1.3037553,11.478049,66.63443,9.559965573
12/08/2018,373.4095511,1.2130643,12.667057,60.896496,9.13354659
13/08/2018,373.487335,1.4395055,8.426535,47.476818,8.556019508
14/08/2018,373.5688712,1.3893868,10.373241,30.752398,9.811985211
15/08/2018,373.6541283,0.6187993,11.035381,56.343536,2.070537209
16/08/2018,373.743075,0.57278556,10.36255,133.60086,1.665891993
17/08/2018,373.8356808,0.7798475,6.9907517,221.42125,2.083240095
18/08/2018,373.9319151,0.40639132,6.157635,164.34157,0.498309158
19/08/2018,374.031748,0.44047207,8.150833,27.318434,0.774880667
20/08/2018,374.1351502,1.4731089,5.853486,3.5803678,6.22415459
21/08/2018,374.241644,1.5433706,4.361571,91.35883,5.090723071
22/08/2018,374.3511872,1.5643728,3.1964297,226.01338,3.833025864
23/08/2018,374.4637382,1.2573597,8.010693,6.5338793,6.205620904
24/08/2018,374.5792552,0.6592761,7.659479,12.31718,1.631285493
25/08/2018,374.6976973,0.30243075,6.8648343,28.50135,0.307664956
26/08/2018,374.8190234,0.18252766,12.803952,52.25179,0.209024643
27/08/2018,374.9431932,0.31398195,15.438193,53.307545,0.745764851
28/08/2018,375.0701665,1.208291,12.182098,25.899757,8.714876764
29/08/2018,375.1999032,1.945657,8.986432,18.215954,16.66924517
30/08/2018,375.3323641,1.8296679,9.344709,25.543715,15.32873793
31/08/2018,375.4675098,1.6756841,9.890574,43.543842,13.60823731
1/09/2018,375.6053014,1.7107195,11.254663,54.174973,16.13935547
2/09/2018,375.7457006,1.9729598,11.39681,47.42458,21.73781362
3/09/2018,375.8886689,1.37669,11.199102,59.185013,10.4004372
4/09/2018,376.0308247,1.083042,10.537917,62.024426,6.056775147
5/09/2018,376.1722328,0.99798334,10.7967205,63.201843,5.269076713
6/09/2018,376.3129575,1.133638,11.379816,64.64182,7.166054561
7/09/2018,376.4530629,1.2025633,12.036993,64.99031,8.529625817
8/09/2018,376.5926129,1.0161215,11.769502,64.821915,5.95450204
9/09/2018,376.731671,0.71435905,13.437358,61.132942,3.360029342
10/09/2018,376.8703004,0.753213,11.30755,62.792873,3.143404069
11/09/2018,377.0085641,0.9473873,10.57658,60.136982,4.651536744
12/09/2018,377.1465247,0.6261501,11.579337,64.38614,2.224521882
13/09/2018,377.2842446,0.44295415,11.267074,59.327293,1.08324022
14/09/2018,377.4211523,0.34309852,10.804931,55.73249,0.623240643
15/09/2018,377.5572906,0.32018712,10.626222,46.72349,0.533805053
16/09/2018,377.6927019,0.6511617,11.285593,31.8329,2.344758725
17/09/2018,377.8274281,0.94690996,9.202754,28.461485,4.043256211
18/09/2018,377.9615106,2.1140559,10.676435,25.871578,23.38057965
19/09/2018,378.0949906,2.5525231,10.236537,38.5448,32.68048572
20/09/2018,378.2306075,1.9437478,10.449803,49.345016,19.34568058
21/09/2018,378.3683191,1.7628429,10.946122,56.94496,16.66800361
22/09/2018,378.5080832,1.6355891,10.72665,60.46072,14.06075385
23/09/2018,378.6498578,1.1935896,10.2177305,61.88627,7.132808688
24/09/2018,378.7936009,1.1824203,9.1071,62.010677,6.23907117
25/09/2018,378.9392706,0.936027,10.474339,62.195576,4.496757402
26/09/2018,379.0868252,0.5864369,10.860205,63.41973,1.830107842
27/09/2018,379.236223,0.4217611,11.238721,62.053295,0.979593766
28/09/2018,379.3874224,0.4329304,12.586676,60.478592,1.155961309
29/09/2018,379.5403818,0.43865827,14.022936,61.26835,1.322171145
30/09/2018,379.6950601,0.45841935,12.747151,62.64716,1.312608138
1/10/2018,379.8514157,0.6309233,9.758834,28.370068,1.90347485
2/10/2018,380.0094075,0.5547428,5.2331595,17.317598,0.789120635
3/10/2018,380.1689944,0.63464636,8.362574,19.283398,1.650439621
4/10/2018,380.3301354,1.0311095,8.950347,18.489517,4.662786489
5/10/2018,380.4927895,1.4438014,10.208947,24.753271,10.42778207
6/10/2018,380.656916,1.5441344,10.851135,42.116234,12.67772839
7/10/2018,380.822474,1.1156907,9.118937,50.066036,5.561960769
8/10/2018,380.985618,0.8757891,8.579372,55.005283,3.224412904
9/10/2018,381.146193,0.66118544,8.0232935,50.956146,1.718681183
10/10/2018,381.3040438,0.5688715,7.9142733,25.627571,1.254976162
11/10/2018,381.4590142,1.1257145,10.712235,10.855203,6.651700582
12/10/2018,381.6109477,1.1439482,6.6176777,51.348618,4.243404284
13/10/2018,381.7596872,0.4823809,6.7137146,29.322723,0.765489367
14/10/2018,381.9050747,0.4054367,9.620124,31.00534,0.77485933
15/10/2018,382.0469521,0.46968412,14.183125,40.505104,1.533132762
16/10/2018,382.1883789,0.52409875,13.5454235,44.626408,1.823118574
17/10/2018,382.3292924,0.50166464,12.553931,44.443573,1.548113503
18/10/2018,382.4696295,0.43369412,11.736184,43.64626,1.081658227
19/10/2018,382.6093275,0.5537881,9.479601,43.118378,1.424535828
20/10/2018,382.7483232,0.45946947,11.07328,42.902554,1.145475173
21/10/2018,382.8865539,0.446009,9.08562,37.050518,0.885600583
22/10/2018,383.0164411,0.44725004,9.69029,19.389248,0.949803205
23/10/2018,383.1381518,0.4350306,9.766566,8.668765,0.905685848
24/10/2018,383.2518513,0.4462954,9.365234,15.041119,0.914028072
25/10/2018,383.3577037,0.48934978,8.437512,59.23244,0.990032105
26/10/2018,383.4558715,0.47283447,7.7082615,26.8641,0.844443853
27/10/2018,383.5465161,1.0677677,7.129175,59.303925,3.982803812
28/10/2018,383.6297971,1.1641866,7.429888,15.897548,4.934277151
29/10/2018,383.705873,1.5736328,4.0620995,100.82148,4.928938911
30/10/2018,383.7880244,0.71970505,7.2593884,17.62484,1.842490313
31/10/2018,383.8760054,0.53469527,8.843714,57.087242,1.238920542
1/11/2018,383.970792,0.62901396,8.154652,91.76849,1.580964363
2/11/2018,384.0721771,0.4318803,10.441499,60.78515,0.954301749
3/11/2018,384.1799549,0.9352633,10.204269,237.37035,4.373667509
4/11/2018,384.2939209,0.69688904,8.578705,7.8762593,2.041479779
5/11/2018,384.4138717,0.43875372,14.220928,8.474935,1.341422668
6/11/2018,384.5396052,0.36448252,12.81474,19.147305,0.834179071
7/11/2018,384.6644276,0.49946898,10.691233,54.94892,1.306895663
8/11/2018,384.7883378,0.6950753,9.853916,53.206505,2.332752414
9/11/2018,384.9099897,0.81411916,6.076109,68.457954,1.973320319
10/11/2018,385.029342,0.5641937,8.234842,58.426186,1.284422236
11/11/2018,385.1463531,1.1962626,9.106049,59.315605,6.385267754
12/11/2018,385.2609813,1.1753559,10.156538,61.77423,6.875124406
13/11/2018,385.3731849,1.069486,8.87999,61.976997,4.976898279
14/11/2018,385.4829218,1.1663823,5.927471,63.25752,3.951366914
15/11/2018,385.5901496,1.237885,9.085142,55.151,6.82163378
16/11/2018,385.6948258,1.1752604,9.033019,54.877438,6.113602666
17/11/2018,385.7969079,0.8901087,8.49355,57.723034,3.297398375
18/11/2018,385.8963529,0.84457225,8.085631,35.50331,2.826074545
19/11/2018,385.9931177,0.9489147,9.658501,42.8187,4.261477092
20/11/2018,386.0871591,1.080369,9.004665,61.02434,5.150007585
21/11/2018,386.1784337,1.1798427,7.183876,57.955357,4.900079509
22/11/2018,386.2668976,0.7547404,9.104331,43.88133,2.541202735
23/11/2018,386.3525071,0.6735003,10.414864,10.396745,2.314862877
24/11/2018,386.4352181,0.894691,6.6750517,30.711843,2.618164025
25/11/2018,386.5189447,0.9275307,7.4589086,33.380108,3.144328786
26/11/2018,386.6037613,0.96590734,7.5904584,44.960457,3.470044283
27/11/2018,386.6897429,0.98757774,7.818618,35.333534,3.736531603
28/11/2018,386.776965,0.928008,8.790444,8.430944,3.709456921
29/11/2018,386.8655033,0.663572,7.6508875,10.149988,1.650760243
30/11/2018,386.9554345,1.3242801,5.4198875,35.88547,4.657427015
1/12/2018,387.0468355,1.9011706,7.822723,37.2361,13.85467082
2/12/2018,387.1397837,1.2694837,8.048592,47.637657,6.355800409
3/12/2018,387.2343573,1.4108663,9.176501,56.98758,8.950450938
4/12/2018,387.3306348,1.1744968,8.781089,58.28803,5.935374611
5/12/2018,387.4286951,0.96810305,9.35082,59.593983,4.294266112
6/12/2018,387.5286179,0.7027124,8.389399,56.600605,2.029935152
7/12/2018,387.6304833,0.48896793,10.185177,26.226933,1.193233431
8/12/2018,387.7343719,0.46109235,10.2331,19.242844,1.066053823
9/12/2018,387.8422006,0.4892543,9.267384,15.307808,1.086982473
10/12/2018,387.9539949,0.5911147,13.668572,12.137096,2.340252641
11/12/2018,388.0656745,0.833212,10.134963,47.25893,3.447698498
12/12/2018,388.1771433,0.89841413,10.902018,37.473923,4.31177532
13/12/2018,388.2883052,0.9259078,12.486152,15.430155,5.245177419
14/12/2018,388.3990643,0.8263386,13.697784,7.2872066,4.58313314
15/12/2018,388.509325,0.7101586,12.844524,7.0617585,3.17413063
16/12/2018,388.6189915,0.57727236,12.535793,10.612571,2.0469603
17/12/2018,388.7279684,0.74051625,10.104223,24.496891,2.714989716
18/12/2018,388.8361601,0.97182614,9.911863,38.257492,4.586997713
19/12/2018,388.9434714,1.404661,10.766555,47.59298,10.40916499
20/12/2018,389.0498072,1.1786017,9.195308,53.669086,6.258878012
21/12/2018,389.1550723,0.87349796,9.6558275,38.66921,3.610018011
22/12/2018,389.2591718,0.78328425,10.170762,37.713116,3.057654141
23/12/2018,389.3620108,0.98137254,7.0765743,40.22604,3.339542343
24/12/2018,389.4634947,1.5676186,7.679145,32.335346,9.246763793
25/12/2018,389.5635289,1.5433706,8.595793,28.597578,10.03280739
26/12/2018,389.6620187,0.7172229,8.769442,52.166557,2.210427807
27/12/2018,389.75887,0.6734049,8.820229,48.843254,1.959875506
28/12/2018,389.8539884,0.6697772,8.728869,42.10661,1.918734016
29/12/2018,389.9472797,0.6553621,8.568967,34.859955,1.803379775
30/12/2018,390.03865,0.6657677,8.189592,57.006138,1.778704438
31/12/2018,390.1280054,0.81287813,9.520841,48.46934,3.082636178
1/01/2019,390.215252,1.0144032,10.381547,51.092926,5.234550278
2/01/2019,390.3009531,1.4028473,11.608931,57.28657,11.19461369
3/01/2019,390.384995,1.024236,10.654574,64.67757,5.476867609
4/01/2019,390.468086,0.809155,10.85925,62.48632,3.483849261
5/01/2019,390.5501378,0.77717453,11.306787,57.30032,3.346358066
6/01/2019,390.6310621,0.70299876,10.867937,57.745716,2.631796531
7/01/2019,390.7107712,0.73173356,11.272514,32.379337,2.957486774
8/01/2019,390.7891779,0.7641914,11.202349,42.87231,3.205601042
9/01/2019,390.8661951,0.8696794,11.941242,43.682,4.425516314
10/01/2019,390.9397601,0.91330653,10.916815,41.899033,4.461954695
11/01/2019,391.009847,0.89430916,10.339256,42.140976,4.051918736
12/01/2019,391.0764302,1.0473384,9.177742,42.142353,4.932941655
13/01/2019,391.1394839,1.0159307,10.241215,45.31856,5.179355633
14/01/2019,391.1989825,1.0783643,9.198363,50.824863,5.24128322
15/01/2019,391.2549004,0.97726756,9.686758,56.07685,4.533164673
16/01/2019,391.3072119,0.89411825,9.39397,49.03365,3.679892804
17/01/2019,391.3558914,0.96590734,9.296596,14.223182,4.250019973
18/01/2019,391.3952451,0.8477226,8.816219,10.449671,3.104459315
19/01/2019,391.4254208,0.8056228,9.189675,7.5291514,2.922535061
20/01/2019,391.4465653,0.7921624,13.857401,5.0066037,4.260948785
21/01/2019,391.4588242,0.73383373,14.174724,9.082545,3.740296502
22/01/2019,391.4623422,0.61813104,14.046992,11.425009,2.629907783
23/01/2019,391.4572628,0.6167945,10.139832,39.410164,1.890200285
24/01/2019,391.4437287,0.64142436,9.741841,46.535847,1.963939098
25/01/2019,391.4218813,0.9612296,9.345187,51.974102,4.230954434
26/01/2019,391.4048115,0.9322085,9.838355,59.725952,4.189331106
27/01/2019,391.3922625,0.85030013,9.673775,30.633486,3.427177145
28/01/2019,391.3839792,0.8389399,9.96876,9.388412,3.437944966
29/01/2019,391.3797077,0.8166012,9.804179,2.7617428,3.20351926
30/01/2019,391.3791957,0.84533596,9.101658,58.842716,3.186950225
31/01/2019,391.3821921,1.0926839,9.438265,57.518208,5.521757568
1/02/2019,391.388447,1.0988891,9.553204,61.29103,5.652659987
2/02/2019,391.3977124,1.1821339,11.629646,64.68857,7.963352105
3/02/2019,391.3843802,1.4029427,13.600029,66.37256,13.1164341
4/02/2019,391.3489804,1.1666687,9.829954,62.733074,6.556056062
5/02/2019,391.2928889,1.0993664,9.736973,63.403236,5.766402652
6/02/2019,391.2166545,1.1793654,11.998616,42.184967,8.177564896
7/02/2019,391.1208227,1.655732,14.478586,67.20905,19.44922564
8/02/2019,391.0059359,1.5272372,12.318612,65.14221,14.07896873
9/02/2019,390.8725333,2.076825,11.007315,57.808952,23.26361924
10/02/2019,390.7211509,2.7005882,12.476319,59.383656,44.58607907
11/02/2019,390.5820437,2.1276119,12.607773,60.55901,27.9652871
12/02/2019,390.4548323,1.3864274,11.072899,55.564777,10.42921653
13/02/2019,390.3375742,1.2787437,10.644169,52.01328,8.528543237
14/02/2019,390.2298477,1.3189342,10.7890835,31.300896,9.196591446
15/02/2019,390.1312333,1.3787903,10.573525,25.191109,9.849457608
16/02/2019,390.0413135,1.3360223,10.257348,22.636255,8.971366199
17/02/2019,389.9596726,1.4193625,11.128554,23.47069,10.98554156
18/02/2019,389.8858974,1.1727784,12.837365,20.71582,8.651748509
19/02/2019,389.8076422,1.0341643,13.215308,18.563063,6.925521033
20/02/2019,389.7248626,1.0913473,12.585435,12.766703,7.344974083
21/02/2019,389.6387071,1.269961,11.590602,25.914879,9.159733571
22/02/2019,389.5491669,1.4486701,7.551509,30.789515,7.765489154
23/02/2019,389.4562331,1.4332049,8.786817,30.806698,8.843908288
24/02/2019,389.3598971,1.2094367,12.429637,49.02609,8.908832869
